news,news_name,news_content,news_date
KBS,‘일용엄니’ 배우 김수미 별세…향년 75세 [이런뉴스],"‘일용엄니’ 배우 김수미 별세…향년 75세 [이런뉴스]
KBS뉴스
재생
1.8K
00:00
00:57



배우 김수미 씨가 오늘(25일) 향년 75세의 나이로 별세했습니다.

서울 서초경찰서는 오늘(25일) 오전 김 씨가 사망 판정을 받았다고 밝혔습니다.

김 씨는 심정지가 발생해 서울성모병원으로 이송됐지만 결국 숨진 것으로 전해졌습니다.

경찰은 자세한 사망 경위를 파악하고 있습니다.

앞서 김 씨는 지난 5월 피로 누적 등을 이유로 서울시 성동구 한양대병원에 입원하며 활동을 잠정 중단했습니다.

당시 김 씨는 공연과 방송 활동이 겹치면서 피로가 누적돼 당분간 휴식이 필요하다는 진단을 받은 것으로 알려졌습니다.

1949년 전북 군산에서 태어난 김 씨는 1971년 MBC 공채 3기 탤런트로 데뷔했고, MBC 드라마 <전원일기>에서 극중 '일용'의 어머니로 출연하면서 '일용엄니'로 알려지며 전 국민적 사랑을 받았습니다.

김 씨는 활동을 중단하기 전까지 영화와 방송, 공연 등 연예 활동을 활발하게 이어왔습니다.

KBS 뉴스, 최준혁입니다.

■ 제보하기
▷ 전화 : 02-781-1234, 4444
▷ 이메일 : kbs1234@kbs.co.kr
▷ 카카오톡 : 'KBS제보' 검색, 채널 추가
▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!",2024.10.25. 오전 10:59
KBS,‘일용 엄니’ 배우 김수미 별세…향년 75세,"드라마 전원일기에서 '일용 엄니'로 큰 사랑을 받았던 배우 김수미 씨가 향년 75세로 별세했습니다.

서울 서초경찰서는 오늘(25일) 오전 김 씨가 사망 판정을 받았다고 밝혔습니다.

김 씨는 자택에서 심정지 상태로 발견돼 서울성모병원으로 이송됐지만, 결국 사망한 것으로 전해졌습니다.

이와 관련해 아들 정명호 씨는 ""사인을 조사한 경찰이 고혈당 쇼크사가 최종 사인이라고 알렸다""면서 ""당뇨 수치가 500이 넘게 나왔다""고 전했습니다.

김수미 씨는 앞서 지난 5월, 피로 누적 등으로 활동을 중단하고, 서울 성동구 한양대병원에 입원했습니다.

김 씨는 당시 공연과 방송 활동이 겹치면서 피로가 누적돼 당분간 휴식이 필요하다는 의료진의 진단을 받은 것으로 알려졌습니다.

김수미 씨는 1971년 MBC 3기 공채 탤런트로 데뷔해 드라마 '전원일기'와 '안녕, 프란체스카', 영화 '마파도', '가문의 위기', '헬머니', 뮤지컬 '친정엄마' 등 작품활동은 물론, 최근에는 예능까지 섭렵하며 왕성하게 활동했습니다.

김 씨는 1986년 MBC 연기대상, 2011년 청룡영화상 여우조연상, 2015년 KBS 연예대상 쇼오락부문 여자 우수상 등을 수상했습니다.

[사진 출처 : 연합뉴스]

■ 제보하기
▷ 전화 : 02-781-1234, 4444
▷ 이메일 : kbs1234@kbs.co.kr
▷ 카카오톡 : 'KBS제보' 검색, 채널 추가
▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!",2024.10.25. 오전 10:33
KBS,"푸틴, 북한군 파병 첫 언급…우크라, “북한군 23일 첫 목격”","푸틴, 북한군 파병 첫 언급…우크라, “북한군 23일 첫 목격”
KBS뉴스
재생
3,484
00:00
02:09



[앵커]

푸틴 러시아 대통령이 북한군 파병에 관해 첫 언급을 내놨습니다.

상호 군사원조 관련 조항을 담은 '북러 조약'을 언급하며, 무엇을 어떻게 할 지는 우리가 알아서 할 일이라고 말했습니다.

우크라이나군은 북한군이 지난 23일 쿠르스크에서 목격됐다고 밝혔습니다.

베를린 조빛나 특파원입니다.

[리포트]

러시아에서 열린 브릭스 정상회의 결산 기자회견에 나선 푸틴 대통령.

미국 기자가 ""위성 사진을 보면 북한군이 러시아에 있는 것 같다""며 ""우크라이나 전쟁이 심각하게 확대되는 것 아니냐""고 물었습니다.

이에 푸틴 대통령은 우크라이나를 지원하는 서방이 상황을 키웠다고 반박했습니다.

그러면서 이날 러시아 하원이 비준한 북러 조약 중 '상호 군사원조' 내용이 담긴 4조를 언급했습니다.

[블라디미르 푸틴/러시아 대통령 : ""북러조약 4조의 틀 안에서 우리가 무엇을 어떻게 할지는 우리의 일입니다. 첫째, 우리는 4조의 이행과 관련해 적절한 협상을 진행해야 합니다. 우리는 북한과 접촉하고 있습니다.""]

처음으로 푸틴 대통령이 북한군 파병 관련 언급을 한 겁니다.

다만 러시아 외무부가 북한군 파병설에 '허위 정보'라며 직접적으로 부인한 것과 달리, 푸틴 대통령은 우크라이나가 북한군 첫 배치 장소로 지목한 러시아 쿠르스크와 관련해, ""우크라이나군 2천 명이 포위돼 있다""며 러시아군이 우세라는 주장만 폈습니다.

우크라이나군 정보총국은 현지 시각 24일, 텔레그램 채널을 통해 자국군이 작전 중인 ""러시아 남서부 쿠르스크에서 23일 북한군이 목격됐다""고 주장했습니다.

또 러시아가 옙쿠로프 국방차관을 북한군 훈련·통제 책임자로 임명했으며, 전장에 투입할 북한군에게 몇 주간 훈련할 시간이 있다는 새로운 정보를 제기했습니다.

우크라이나의 북한군의 쿠르스크 배치 주장에 대해 미 국방부는 ""밝힐 사항은 없다""며 신중한 반응을 보였습니다.

사브리나 싱 국방부 부대변인은 브리핑에서 ""그들이 무엇을 할지는 지켜봐야 한다""고 답했습니다.

베를린에서 KBS 뉴스 조빛나입니다.

영상편집:이인영/자료조사:이승구

■ 제보하기
▷ 전화 : 02-781-1234, 4444
▷ 이메일 : kbs1234@kbs.co.kr
▷ 카카오톡 : 'KBS제보' 검색, 채널 추가
▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!",2024.10.25. 오전 6:05
KBS,다친 동생 업고 맨발로 1시간…가자 소녀 영상에 전 세계 울컥 [잇슈 SNS],"다친 동생 업고 맨발로 1시간…가자 소녀 영상에 전 세계 울컥 [잇슈 SNS]
KBS뉴스
재생
1.5K
00:00
01:06



전 세계 소셜미디어와 인터넷 세상에서 어떤 이슈와 영상들이 주목을 받았을까요?

첫 번째는 전 세계를 울컥하게 만든 팔레스타인 가자 소녀 영상입니다.

뙤약볕 아래 지친 표정으로 아스팔트 길을 걸어오는 어린 소녀.

심지어 신발도 없이 맨발로, 작은 어깨에는 여동생을 둘러업고 있습니다.

해당 영상은 팔레스타인 가자 지구에서 촬영됐는데요.

당시 취재 중이던 카메라맨이 우연히 이들 자매를 발견했고 차에 치여 걸을 수 없는 동생의 치료를 위해 1시간 동안 2km 이상을 걸어 의료진이 있는 난민 캠프로 향하는 중인 걸 알게 됐다고 합니다.

이에 카메라맨은 두 소녀를 차에 태워 목적지까지 안전하게 데려다줬고 전쟁의 참상을 고스란히 담은 해당 영상을 소셜미디어에 공개했다고 합니다.

현지 당국에 따르면 1년 넘게 계속되고 있는 이스라엘과 무장 정파 하마스의 전쟁으로 지금까지 가자지구에서는 4만 명 넘게 사망했는데, 이 중 어린이가 1만 1000명 이상인 것으로 전해졌습니다.

■ 제보하기
▷ 전화 : 02-781-1234, 4444
▷ 이메일 : kbs1234@kbs.co.kr
▷ 카카오톡 : 'KBS제보' 검색, 채널 추가
▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!",2024.10.25. 오전 6:47
KBS,[단독] 서울대병원 ‘전임의 모집’ 절반도 못 채웠다…응급의학과 지원 ‘0명’,"의료 공백이 장기화화면서 '빅5' 병원 중 한 곳인 서울대학교병원조차 의사 모집에 미달 사태가 속출하고 있습니다.

서울대병원(본원·분당)은 최근, 내년에 근무할 전임의(임상강사) 채용을 진행했는데 지원자는 모집 인원의 절반에도 미치지 못한 걸로 나타났습니다.

전임의는 전문의 자격증을 딴 뒤 세부 전공을 더 배우기 위해 대학병원에 남는 의사들로, 입원 환자 관리뿐만 아니라 수술, 외래 진료 등을 맡아 업무의 범위가 넓습니다.

대학병원 입장에서는 전공의 집단 사직 이후 전임의 인력 확보가 절실한 상황이지만, 모집 단계부터 어려움을 겪고 있는 겁니다.


■전체 모집인원 459명 중 222명만 지원

KBS가 서울대병원 관계자로부터 확보한 자료를 보면, 서울대병원 본원과 분당서울대병원이 이달 초부터 진행한 전임의 1차 채용에 모두 222명이 지원한 것으로 파악됐습니다. 총 모집인원 459명 중 절반도 안 되는 숫자입니다.

305명을 뽑기로 한 서울대병원 본원에는 155명(50.8%)이 지원했고, 분당서울대병원은 154명을 채용하기로 했는데 67명(43.5%)이 지원했습니다.

지난해 채용과 비교해보면 올해의 지원자 감소세는 더욱 두드러집니다.

지난해 서울대병원의 전임의 1차 채용 총 모집인원은 478명이었는데, 당시 지원자는 399명 수준이었습니다.

서울대병원 본원은 전체 모집인원 307명 중 263명(85.6%)이, 분당서울대병원은 전체 모집인원 171명 중 136명(79.5%)이 지원했습니다.

올해는 전임의 모집 결과 거의 모든 진료과가 필요 인원을 충족하지 못하면서, 서울대병원 본원은 2차 모집을 위한 수요 조사를 곧 진행할 계획입니다.


■지원자 '0'명 수두룩…""필수과 기피 여전 ""
모집인원보다 지원자가 많은 진료과는 서울대병원 본원의 신경외과와 가정의학과, 분당서울대병원의 가정의학과 등 3곳뿐이었습니다.

총 지원자는 모집인원의 절반 수준이지만, 이마저도 특정 과에 집중됐습니다.

서울대병원 본원의 경우 ▲정형외과(모집인원 14명·지원자 13명) ▲정신건강의학과(모집인원 9명·지원자 9명) ▲안과(모집인원 14명·지원자 13명) 등 진료과에 지원자가 몰렸습니다.

분당서울대병원은 ▲정형외과(모집인원 13명·지원자 11명) ▲신경외과(모집인원 6명·지원자 4명)▲소아청소년과(모집인원 7명·지원자 7명) ▲외과(모집인원 13명·지원자 10명) ▲안과(모집인원 12명·지원자 7명) 등 진료과에 지원자가 많았습니다.


반면, 산부인과와 응급의학과 등 이른바 '필수 의료과'는 대부분 미달입니다.

응급실 의료진 부족 문제가 꾸준히 대두되고 있는 가운데, 12명 모집을 목표로 한 응급의학과에는 단 한 명도 지원하지 않았습니다.

산부인과도 사정은 비슷합니다. 본원 산부인과(모집인원 12명)엔 한 명도 지원하지 않았고, 분당서울대병원 산부인과(모집인원 9명) 지원자도 2명에 그쳤습니다.

서울대병원의 한 산부인과 교수는 전임의 지원 미달 사태를 두고 ""의료공백 전에는 전공의가 약 40명 정도 있었지만, 현재 극소수만 남아 4년차 전공의가 한 명도 없는 영향""이라며, ""최근 전임의 이탈도 많아 내년 2월 전까지 추가 채용을 진행할 예정""이라고 전했습니다.

그래픽 : 이재희

■ 제보하기
▷ 전화 : 02-781-1234, 4444
▷ 이메일 : kbs1234@kbs.co.kr
▷ 카카오톡 : 'KBS제보' 검색, 채널 추가
▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!",2024.10.25. 오전 7:00
서울신문,"김건희 여사, 13일만 공식 석상…강렬한 빨강 블라우스","윤석열 대통령 부부, 폴란드 대통령 공식 환영식 - 윤석열 대통령과 김건희 여사가 24일 서울 용산 대통령실 앞 잔디마당에서 열린 안제이 두다 폴란드 대통령 국빈 방한 공식 환영식에 두다 대통령 부부와 함께 자리하고 있다. 2024.10.24 연합뉴스


한동훈 국민의힘 대표가 ‘김건희 여사 대외 활동 자제’를 거듭 요구하며 용산과 각을 세운 가운데, 김 여사가 24일 안제이 두다 폴란드 대통령 국빈 방한 공식 환영식에 참석하며 13일 만에 대외 활동을 재개했다.

이날 서울 용산 대통령실 청사 앞 잔디마당에서 개최된 환영식에는 윤석열 대통령과 김 여사, 두다 대통령과 배우자 아가타 코른하우저 두다 여사 그리고 양국 주요 참모진이 참석했다.

환영식에는 한국과 폴란드의 국기가 함께 배치되고, 의장대가 도열했다. 군악대 봉황곡 연주와 함께 예포 21발이 발사됐다.

윤 대통령과 두다 대통령은 함께 걸으며 의장대를 사열했고, 김 여사와 두다 여사도 그 뒤로 함께 이동하며 대화를 나눴다.

김 여사가 공식 석상에 등장한 건 지난 11일 동남아 3국 순방을 마치고 귀국한 지 13일 만이다.

국내 일정을 기준으로는 지난달 10일 마포대교를 찾은 지 한 달 반 만이다.

하지만 여러 논란 때문인지 이날 배우자 친교일정은 비공개로 진행됐다.

김 여사는 명품가방 수수 의혹, 도이치모터스 주가 조작 의혹, 공천개입 의혹 등이 동시다발로 불거지고, 여권 내에서 활동 자제 목소리가 나오자 외부 노출을 줄였다.

16일 재·보궐선거 투표는 물론, 2년 연속 참석했던 경찰의 날 행사(19일)에도 윤 대통령과 동행하지 않았다.

17일 한 대표는 김 여사의 대외 활동 중단, 대통령실 인적 쇄신, 의혹 규명 협조 등 김 여사 리스크 해소를 위한 3대 요구사항을 밝힌 바 있다.

한 대표는 21일 윤 대통령과 면담에서도 김 여사 대외 활동 중단을 재차 요구했으나, 윤 대통령은 사실상 수용하기가 어렵다는 뜻을 전했다.

윤 대통령은 “집사람이 많이 지쳐 있다”, “대외 활동을 이미 자제하고 있고, 더 자제할 것이다”라고 말한 것으로 알려졌다.

23일 한 대표는 이재명 더불어민주당 대표의 공직선거법 위반 사건 1심 재판 결과가 나오는 11월 15일까지 김 여사 논란을 매듭지어야 한다고 용산을 재차 압박했다.

일단 김 여사는 필수 외교 일정 등 불가피한 공식 행사를 소화하는 방식으로 대외 활동을 최소화할 전망이다.

한편 엠브레인퍼블릭·케이스탯리서치·코리아리서치·한국리서치가 지난 21∼23일 만 18세 이상 남녀 1000명을 대상으로 전국지표조사(NBS)에서 ‘김 여사가 대외활동을 중단해야 하느냐’는 질문에 응답자의 73%가 찬성, 20%가 반대했다.",2024.10.24. 오후 9:30
서울신문,[속보] 배우 김수미 별세…향년 75세,"배우 김수미. 연합뉴스


배우 김수미씨가 별세했다. 향년 75세.

25일 서울 서초경찰서에 따르면 김씨는 심정지가 발생해 이날 오전 8시쯤 서초구 서울성모병원으로 이송됐으나 결국 사망 판정을 받았다.

경찰은 자세한 사망 경위를 파악 중이다.

앞서 김수미는 지난 5월 피로 누적으로 서울 성동구 한양대병원에 입원해 활동을 잠정 중단한 바 있다.",2024.10.25. 오전 10:17
서울신문,대통령실 “지지율 하락 엄중 인식…국민 목소리 귀 기울일 것”,"윤석열 대통령이 15일 서울 용산 대통령실 청사에서 열린 국무회의를 주재하며 발언하고 있다. 연합뉴스


윤석열 대통령의 지지율이 이틀 연속 역대 최저치를 기록한 가운데, 대통령실이 “엄중하게 상황을 인식하고 부족한 부분을 채워나갈 것”이라고 밝혔다.

대통령실 관계자는 25일 기자들과 만나 “지지율 하락에 대해 엄중한 상황 인식 아래 국민들의 목소리에 귀를 기울여 나가겠다”면서 “부족한 부분을 채우기 위해 최선을 다하겠다”고 말했다.

그러면서 “민생 개혁 과제에 더 힘쓰겠다”고 덧붙였다.",2024.10.25. 오후 3:14
서울신문,"“최동석 18억 가압류 건 압구정 아파트…박지윤, 42억에 팔았다”","박지윤과 최동석. 뉴시스


이혼 소송 중인 아나운서 출신 방송인 박지윤(44)과 최동석(45)이 압구정동 아파트를 정리한 것으로 전해졌다.

지난 24일 땅집고 보도에 따르면 최근 박지윤은 자신의 명의로 보유 중이던 서울 강남구 압구정동 현대3차 전용 82㎡를 42억원에 팔았다. 2022년 8월 기록한 최고가와 같은 금액이며, 현재 매도 절차가 진행 중이다. 해당 아파트가 있는 압구정동이 서울시 토지거래허가구역으로 묶여있어, 강남구청에 토지거래허가신청서를 제출한 상태다.

해당 아파트는 최근 디스패치가 공개한 박지윤·최동석 녹취록, 카카오톡 메시지에서 언급되기도 했다.

당시 최동석은 “아파트 빨리 팔아”라고 요구했고, 박지윤은 “안 팔고 싶은 거 아니다. 팔 거다. 대출이자도 나가고 있어서 나도 부담”이라고 했다. 최동석이 “압구정 팔라”고 하자, 박지윤은 “압구정 집을 왜 네 마음대로 팔려고 해? 내 명의인데. 압구정 집만 팔면 돼? 너 항상 이혼 얘기 나오면 압구정 집 팔라고 하지”라고 맞섰다.

최동석은 이 아파트에 18억원의 가압류를 걸어놓은 것으로 전해졌다. 박지윤과 결혼 후 매입, 공동재산에 속해 재산분할 과정에서 자신의 권리를 주장하기 위한 것으로 보인다.

한편 박지윤과 최동석은 2004년 KBS 아나운서 30기 동기로 만나 4년 열애 끝에 2009년 11월 결혼, 슬하에 1남 1녀를 뒀다. 지난해 10월 파경 소식을 알린 두 사람은 현재 이혼소송 중이며, 양육권과 친권은 박지윤이 가져갔다. 최동석은 면접교섭권을 통해 2주에 한 번씩 아이들을 만나고 있다. 두 사람은 쌍방 상간 소송도 진행 중이다. 양측 모두 불륜설을 부인한 상태다.",2024.10.25. 오전 7:37
서울신문,"“몸값 4900억원 잭팟”…백종원 더본코리아, 공모가 3만4000원 확정","희망 범위 상단 21.4% 초과
백 대표 지분율 60.78%…평가액 2990억원
백종원 더본코리아 대표. 백종원 PAIK JONG WON 유튜브


백종원 대표가 이끄는 외식 프랜차이즈 기업 더본코리아가 기관투자자 수요예측 결과 공모가를 3만 4000원으로 확정했다.

25일 더본코리아에 따르면 전날까지 5영업일 간 진행된 수요예측에는 국내외 2216개 기관이 참여해 경쟁률 734.67대1을 기록했다.

확정 공모가 3만 4000원은 희망 범위(2만 3000원∼2만 8000원) 상단을 21.4% 초과한 가격이다. 수요예측에 참여한 기관 물량의 99.73%는 희망 공모가 범위 상단 또는 상단 초과 가격을 제시한 것으로 파악됐다.

이로써 더본코리아는 확정 공모가 기준 4918억원의 몸값을 자랑하게 됐다. 총 300만주 전량을 신주 발행하는 공모 규모는 1020억원 수준이다.

백 대표는 더본코리아 주식 879만 2850주(공모 이후 지분율 60.78%)를 소유하고 있다. 백 대표의 주식 평가액은 공모가 기준 약 2990억원에 달한다.

백 대표가 1994년 설립한 더본코리아는 빽다방, 홍콩반점, 새마을식당 등 25개의 외식 브랜드를 운영하고 있다. 국내 점포 수는 약 2900개다. 이외에 가공식품과 소스 등을 소비자에게 판매하는 유통사업과 제주도 더본호텔을 통한 호텔사업도 하고 있다.

더본코리아는 지난 2018년 상장을 추진했으나 코로나19 확산 등으로 연기한 후 올해 창립 30주년을 맞아 다시 상장에 도전해 ‘잭팟’을 터뜨리게 됐다.

더본코리아 관계자는 “더본코리아의 기업가치와 성장 가능성을 믿고 수요예측에 적극 참여해주신 투자자분들에게 감사드린다”며 “상장 후에도 가맹점과의 상생, 지역 개발 사업을 통한 지역과의 상생을 최우선 가치로 삼고 모두와 함께 성장하는 더본코리아가 되겠다”고 전했다.

더본코리아는 이달 28∼29일 양일간 일반 청약을 진행한 뒤 다음 달 6일 유가증권시장에 상장한다. 상장주관회사는 한국투자증권, NH투자증권이다.",2024.10.25. 오후 4:00
