second_week_topic_topic1,second_week_topic2,second_week_topic3,second_week_topic5,second_week_topic7,second_week_topic10,second_week_topic13
후보,빽가,하니,체코,기생,가격,금투세
투표,콘서트,한강,보고서,국악인,비율,구역
보수,임영웅,사진,주장,헝가리,발전,보호
교육감,운영,뉴진스,한의사,국회,신재생에너지,상수
득표율,사례,작가,겨울,아이,구매,있습니다
골프장,부탁,대표,패딩,국가,김장,승진
보궐선거,지인,국정감사,원전,공연,배추,주식시장
진영,티케팅,생각,매장,사과,국가,문제
서울시,기프티콘,지난,의사,지원,작년,해제
진보,동호회,한국,상품,유산,응답,법안
투표소,심지어,수상,수주,노르웨이,의무,시행
서울,금손,국회,아우,발언,공급,폐지
총선,사례금,출석,교수,희는,정부,시장
당시,암표,여성,가을,청와대,사업자,지역
선거,예매,스웨덴,한의대,출생,의향,추진
금정,티켓,하이브,교육,하락,김치,지난
정근,국내,국감,의료,문화,규모,아들
조전혁,요구,인사,패션,기자회견,소비자,환경
보좌,제주도,위원회,브랜드,저희,시장,유예
강선영,상당,노동,서울,보유,비용,공매도
지역,있어서,운동,판매,무형,민간,남원시
경기,개념,주장,대비,무형문화재,포기,이번
이번,사장,노벨상,매출,자리,때문,주민
당선,직원,어도,면서,사죄,판매,도입
홀로,무려,서울,정부,김대중,이유,우려
사전투표,카페,다른,조사,명인,생산,주가
행정동,아무,멤버,의대,영희,보유,기자
결과,아닌데,환경,의협,명창,감소,투자자
동행,친분,노벨문학상,의류,김정숙,안정,발의
강한,노동청,단체,일부,국민,제도,공무원
